indice_tiempo,importaciones_capital_productivo_especifico,importaciones_capital_productivo_general,importaciones_capital_productivo_transporte,agroindustria_liquid_divisas,activos_cat_anuales,activos_reservas_anuales,creditos_anticipos_comerciales_anual,derechos_especiales_giro_anual,inversion_cartera_anuales,inversion_directa_cat_anuales,moneda_depositos_anual,moneda_depositos_cat_anual,otra_inversion_anual,oro_monetario_anual,otros_activos_reserva_anuales,otros_derechos_sobre_activos,otras_participaciones_capital_anuales,posicion_inversion_internacional_neta,posicion_reserva_fmi,participaciones_capital_fondos_inversion_anual,participaciones_capital_utilidades_reinvertidas_anual,prestamos,pasivos_anuales,pasivos_creditos_anticipos_comerciales_anuales,pasivos_derivados_financieros_anuales,pasivos_derechos_especiales_giro_anuales,pasivos_inversion_cartera_anuales,pasivos_inversion_directa_anual,pasivos_instrumentos_deuda,pasivos_moneda_depositos_anuales,pasivos_otras_cuentas_pagar,pasivos_otra_inversion,pasivos_participaciones_capital_utilidades,pasivos_participaciones_capital_fondos_inversion,pasivos_prestamos,pasivos_titulos_deuda,titulos_deuda,titulos_valores,activos_cat_trimestrales,activos_reservas_trimestrales,creditos_anticipos_comerciales_trimestral,derechos_especiales_giro_trimestral,inversion_directa,inversion_cartera,moneda_depositos_trimestral,moneda_depositos_cat_trimestral,otra_inversion_trimestral,oro_monetario_trimestral,otros_activos_reserva_trimestrales,otros_derechos_sobre_activos
2002,,,,4362.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,9450.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,11055.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,11654.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,12276.1,177511.943396,32036.81,3239.0,485.38,33302.9731661,25896.586555,74282.3044516,15178.12,86275.5736747,1114.51,30436.63,117.59,1745.10114716,6456.57068854,0.29,17707.0,25896.586555,7009.16807599,171055.372707,7292.49295517,5322.62004693,0.0,60727.235174,59882.2138643,13605.8660781,438.88197051,731.27053238,45123.303622,46276.3477862,4843.16883331,36660.658164,55884.0663406,15595.9731661,15140.92,,,,,,,,,,,,
2007,,,,17577.9,206092.119349,46167.53,4190.4,509.1,34622.3725875,27543.4327141,83386.805,24519.69,97758.7840476,1467.58,44190.54,169.0,1877.05713899,20698.542626,0.31,20306.0,27543.4327141,8304.52190858,185393.576723,8816.49316945,4641.43634515,0.0,64812.0559705,66225.6876498,15303.8189367,663.26158906,1193.1606585,49714.3967577,50921.8687131,6785.89389175,39041.4813407,58026.1620788,14316.3725875,19501.85,,,,,,,,,,,,
2008,,,,21920.0,210709.727304,46385.91,3846.0,494.85,25236.5050089,28788.8126286,95242.446,34423.05,110298.499667,1524.2,44366.56,185.37,2011.10176992,53122.5429442,0.3,12301.026,28788.8126286,9198.95189666,157587.18436,11274.0964301,1177.61690765,0.0,24977.7821411,75235.0828839,19649.2854714,484.8367292,1086.12591422,56196.7024272,55585.7974125,2510.16204071,43351.6433537,22467.6201004,12935.4790089,9758.14,,,,,,,,,,,,
2009,,,,16198.7,223778.491708,47967.48,3382.0,3171.67,30527.1714303,29535.5748325,103237.6,40643.46,115748.265445,1932.39,42863.11,45.71,2098.15559906,42545.9930191,0.31,16108.0,29535.5748325,7030.50984587,181232.498689,10464.767474,2282.9094826,2645.30772848,44738.3137465,78205.1500544,18163.5389892,221.8199982,629.23361266,56006.1254051,60041.6110652,3493.826879,42044.9965918,41244.4868675,14419.1714303,2173.94,,,,,,,,,,,,
2010,,,,17044.7,238405.050676,52189.83,4345.0,3116.12,32120.5235961,30328.3355129,109835.230467,44831.87,123766.361567,2496.6,46576.81,258.93,2387.60384221,38024.3529684,0.3,19153.9394301,30328.3355129,7198.52725807,200380.697707,13238.2679912,6669.06916452,2598.86308332,51261.9421565,85590.5803837,20568.5707768,237.15954835,522.23827824,56859.1060027,65022.0096069,6452.35406081,40262.5771016,44809.5880957,12966.5841659,1486.01,,,,,,,,,,,,
2011,,,,,254522.017585,46375.93,5934.0,3152.93,31869.9340379,31891.3355129,128091.174581,39046.84,144384.818035,3126.51,40096.19,171.51,2471.40931019,47766.73406,0.3,19247.9637647,31891.3355129,7888.23414347,206755.283525,18246.3634871,4805.53861929,2590.48480196,41080.5446628,92294.9971385,22778.1479566,372.58375661,620.08349741,68574.2031047,69516.8491819,4048.92522745,46744.6875616,37031.6194354,12621.9702732,877.84,,,,,,,,,,,,
2012,,,,,263987.865264,43290.21,4761.0,3155.77,33185.2488007,32919.1850909,139055.140416,35685.14,154593.221372,3326.47,36807.67,190.67,2547.25456039,57879.852184,0.3,20419.7024953,32919.1850909,8229.82639602,206108.01308,18055.3261479,2687.18348432,2601.26684138,39536.7630342,98705.618977,26530.3009784,445.29408529,461.58170381,65178.4475842,72175.3179985,3573.69966163,43614.9788058,35963.0633726,12765.5463054,931.86,,,,,,,,,,,,
2013,,,,,261634.082128,30600.44,6355.0,3162.3,39484.7938939,34517.1579496,140110.905354,23923.38,157031.690284,2389.47,25048.37,217.08,2568.64447744,61196.0988722,0.3,25982.9054887,34517.1579496,7997.14045251,200437.983255,18908.153315,3588.5315556,2598.46288882,45984.023564,88337.6597442,27411.5774195,168.87358315,295.22704783,62527.7683917,60926.0823247,5318.74303676,40557.0515568,40665.2805272,13501.8884052,907.91,,,,,,,,,,,,
